datetime,sym,price,size,side,orderid
2000-01-06 09:15:00.04,ANON006.SZ,19.73,100.0,-1,2914
2000-01-06 09:15:00.04,ANON006.SZ,19.72,100.0,-1,3578
2000-01-06 09:15:00.06,ANON006.SZ,19.0,1000.0,-1,8990
2000-01-06 09:15:00.06,ANON006.SZ,17.21,200.0,1,9623
2000-01-06 09:15:00.06,ANON006.SZ,18.78,200.0,-1,9625
2000-01-06 09:15:00.07,ANON006.SZ,19.19,100.0,-1,12443
2000-01-06 09:15:00.08,ANON006.SZ,19.23,200.0,-1,14233
2000-01-06 09:15:00.08,ANON006.SZ,19.38,200.0,-1,14234
2000-01-06 09:15:00.1,ANON006.SZ,18.68,200.0,-1,19892
2000-01-06 09:15:00.1,ANON006.SZ,18.78,300.0,-1,19894
2000-01-06 09:15:00.11,ANON006.SZ,19.73,100.0,-1,23003
2000-01-06 09:15:00.13,ANON006.SZ,18.18,1000.0,-1,28785
2000-01-06 09:15:00.13,ANON006.SZ,19.6,200.0,-1,29337
2000-01-06 09:15:00.14,ANON006.SZ,19.6,300.0,-1,33218
2000-01-06 09:15:00.15,ANON006.SZ,19.68,100.0,-1,33929
2000-01-06 09:15:00.15,ANON006.SZ,18.58,500.0,-1,35762
2000-01-06 09:15:00.16,ANON006.SZ,19.73,1000.0,-1,37431
2000-01-06 09:15:00.16,ANON006.SZ,17.81,100.0,1,37726
2000-01-06 09:15:00.16,ANON006.SZ,17.66,100.0,1,37727
2000-01-06 09:15:00.16,ANON006.SZ,16.15,500.0,1,38592
2000-01-06 09:15:00.17,ANON006.SZ,19.69,2000.0,-1,40739
2000-01-06 09:15:00.24,ANON006.SZ,17.03,600.0,1,49737
2000-01-06 09:15:00.55,ANON006.SZ,18.98,200.0,-1,66361
2000-01-06 09:15:00.6,ANON006.SZ,19.73,100.0,-1,68418
2000-01-06 09:15:00.7,ANON006.SZ,19.72,300.0,-1,73876
2000-01-06 09:15:00.7,ANON006.SZ,19.72,300.0,-1,73886
2000-01-06 09:15:00.7,ANON006.SZ,19.72,300.0,-1,73892
2000-01-06 09:15:00.72,ANON006.SZ,19.72,300.0,-1,74862
2000-01-06 09:15:00.73,ANON006.SZ,19.72,200.0,-1,75266
2000-01-06 09:15:00.74,ANON006.SZ,19.72,300.0,-1,75825
2000-01-06 09:15:00.74,ANON006.SZ,19.7,300.0,-1,76038
2000-01-06 09:15:00.75,ANON006.SZ,19.7,200.0,-1,76389
2000-01-06 09:15:00.76,ANON006.SZ,17.02,100.0,1,77012
2000-01-06 09:15:00.81,ANON006.SZ,18.58,200.0,-1,79643
2000-01-06 09:15:00.81,ANON006.SZ,18.98,200.0,-1,79644
2000-01-06 09:15:00.81,ANON006.SZ,19.48,200.0,-1,79645
2000-01-06 09:15:00.83,ANON006.SZ,19.7,300.0,-1,80292
2000-01-06 09:15:00.83,ANON006.SZ,19.7,300.0,-1,80293
2000-01-06 09:15:00.84,ANON006.SZ,17.21,400.0,1,80580
2000-01-06 09:15:01.03,ANON006.SZ,18.46,500.0,-1,88884
2000-01-06 09:15:01.03,ANON006.SZ,17.5,100.0,1,88905
2000-01-06 09:15:01.03,ANON006.SZ,17.0,100.0,1,88909
2000-01-06 09:15:01.03,ANON006.SZ,16.5,100.0,1,88914
2000-01-06 09:15:01.03,ANON006.SZ,18.5,100.0,-1,88947
2000-01-06 09:15:01.05,ANON006.SZ,19.73,100.0,-1,90145
2000-01-06 09:15:01.14,ANON006.SZ,16.15,100.0,1,93145
2000-01-06 09:15:01.21,ANON006.SZ,19.7,300.0,-1,94989
2000-01-06 09:15:01.21,ANON006.SZ,19.73,200.0,-1,95065
2000-01-06 09:15:01.25,ANON006.SZ,18.4,600.0,-1,96204
2000-01-06 09:15:01.25,ANON006.SZ,19.0,600.0,-1,96205
2000-01-06 09:15:01.25,ANON006.SZ,19.5,500.0,-1,96206
2000-01-06 09:15:01.26,ANON006.SZ,17.7,600.0,1,96235
2000-01-06 09:15:01.5,ANON006.SZ,19.0,100.0,-1,100513
2000-01-06 09:15:01.5,ANON006.SZ,19.5,100.0,-1,100515
2000-01-06 09:15:01.54,ANON006.SZ,19.0,1000.0,-1,101649
2000-01-06 09:15:03.09,ANON006.SZ,19.73,200.0,-1,117159
2000-01-06 09:15:03.7,ANON006.SZ,19.73,500.0,-1,118063
2000-01-06 09:16:06.89,ANON006.SZ,19.7,300.0,-1,128063
2000-01-06 09:16:48.21,ANON006.SZ,18.13,1000.0,-1,132877
2000-01-06 09:17:34.33,ANON006.SZ,18.6,1000.0,-1,138783
2000-01-06 09:17:34.99,ANON006.SZ,16.15,100.0,-1,138879
2000-01-06 09:17:57.91,ANON006.SZ,19.73,100.0,1,141973
2000-01-06 09:18:11.54,ANON006.SZ,17.58,500.0,1,143867
2000-01-06 09:19:13.51,ANON006.SZ,19.73,7900.0,1,152813
2000-01-06 09:19:36.38,ANON006.SZ,19.0,1000.0,-1,156448
2000-01-06 09:21:29.44,ANON006.SZ,17.94,1800.0,1,173142
2000-01-06 09:22:35.85,ANON006.SZ,18.87,1000.0,-1,183564
2000-01-06 09:23:02.1,ANON006.SZ,18.87,1000.0,-1,188185
2000-01-06 09:23:14.42,ANON006.SZ,16.95,100.0,1,190516
2000-01-06 09:23:40.04,ANON006.SZ,18.3,1900.0,-1,195672
2000-01-06 09:23:47.98,ANON006.SZ,18.48,500.0,-1,197255
2000-01-06 09:23:58.94,ANON006.SZ,18.16,2000.0,-1,199598
2000-01-06 09:24:21.57,ANON006.SZ,18.11,500.0,-1,205917
2000-01-06 09:24:34.74,ANON006.SZ,18.42,1200.0,-1,210568
2000-01-06 09:24:52.58,ANON006.SZ,18.72,100.0,-1,218741
2000-01-06 09:30:00.09,ANON006.SZ,17.77,2000.0,1,287037
2000-01-06 09:30:00.1,ANON006.SZ,17.43,100.0,1,291974
2000-01-06 09:30:00.1,ANON006.SZ,19.73,500.0,-1,293316
2000-01-06 09:30:00.11,ANON006.SZ,18.01,100.0,1,295199
2000-01-06 09:30:00.19,ANON006.SZ,18.94,300.0,-1,322751
2000-01-06 09:30:00.19,ANON006.SZ,17.94,500.0,1,323337
2000-01-06 09:30:00.26,ANON006.SZ,19.28,600.0,-1,336163
2000-01-06 09:30:00.32,ANON006.SZ,17.91,600.0,1,345609
