datetime,sym,price,size,side,orderid
2000-01-12 09:15:00.04,ANON012.SZ,98.79,500.0,-1,2872
2000-01-12 09:15:00.04,ANON012.SZ,106.55,600.0,-1,2873
2000-01-12 09:15:00.04,ANON012.SZ,113.88,100.0,-1,5672
2000-01-12 09:15:00.04,ANON012.SZ,113.88,200.0,-1,5728
2000-01-12 09:15:00.05,ANON012.SZ,80.11,100.0,1,7381
2000-01-12 09:15:00.05,ANON012.SZ,114.0,100.0,-1,8024
2000-01-12 09:15:00.05,ANON012.SZ,114.05,100.0,-1,9676
2000-01-12 09:15:00.06,ANON012.SZ,106.0,700.0,-1,12542
2000-01-12 09:15:00.06,ANON012.SZ,105.0,400.0,-1,13633
2000-01-12 09:15:00.07,ANON012.SZ,114.06,1900.0,-1,15038
2000-01-12 09:15:00.09,ANON012.SZ,90.0,200.0,1,18424
2000-01-12 09:15:00.09,ANON012.SZ,114.06,200.0,-1,19140
2000-01-12 09:15:00.1,ANON012.SZ,114.06,500.0,-1,21526
2000-01-12 09:15:00.11,ANON012.SZ,107.0,100.0,-1,23584
2000-01-12 09:15:00.11,ANON012.SZ,90.0,100.0,1,23587
2000-01-12 09:15:00.11,ANON012.SZ,113.88,5200.0,-1,25467
2000-01-12 09:15:00.11,ANON012.SZ,96.5,400.0,-1,25908
2000-01-12 09:15:00.11,ANON012.SZ,97.0,400.0,-1,25909
2000-01-12 09:15:00.11,ANON012.SZ,97.5,400.0,-1,25911
2000-01-12 09:15:00.12,ANON012.SZ,98.0,400.0,-1,25923
2000-01-12 09:15:00.12,ANON012.SZ,91.05,400.0,1,26191
2000-01-12 09:15:00.12,ANON012.SZ,97.9,100.0,-1,26360
2000-01-12 09:15:00.12,ANON012.SZ,114.06,100.0,1,28510
2000-01-12 09:15:00.13,ANON012.SZ,95.06,100.0,1,29938
2000-01-12 09:15:00.13,ANON012.SZ,104.0,700.0,-1,31265
2000-01-12 09:15:00.14,ANON012.SZ,106.42,100.0,-1,31406
2000-01-12 09:15:00.14,ANON012.SZ,113.92,100.0,-1,31407
2000-01-12 09:15:00.14,ANON012.SZ,97.81,100.0,-1,33046
2000-01-12 09:15:00.17,ANON012.SZ,86.0,100.0,1,40351
2000-01-12 09:15:00.18,ANON012.SZ,98.05,100.0,-1,42384
2000-01-12 09:15:00.18,ANON012.SZ,94.03,100.0,1,43064
2000-01-12 09:15:00.21,ANON012.SZ,98.88,100.0,-1,48002
2000-01-12 09:15:00.22,ANON012.SZ,105.0,200.0,-1,48754
2000-01-12 09:15:00.23,ANON012.SZ,103.6,100.0,-1,50070
2000-01-12 09:15:00.24,ANON012.SZ,93.05,100.0,-1,50888
2000-01-12 09:15:00.24,ANON012.SZ,97.7,2000.0,-1,51955
2000-01-12 09:15:00.24,ANON012.SZ,97.99,1600.0,-1,51956
2000-01-12 09:15:00.27,ANON012.SZ,93.0,100.0,1,54248
2000-01-12 09:15:00.27,ANON012.SZ,105.0,200.0,-1,54254
2000-01-12 09:15:00.27,ANON012.SZ,102.0,100.0,-1,54260
2000-01-12 09:15:00.29,ANON012.SZ,95.95,1000.0,-1,55591
2000-01-12 09:15:00.29,ANON012.SZ,96.96,1000.0,-1,55613
2000-01-12 09:15:00.29,ANON012.SZ,97.97,1000.0,-1,55622
2000-01-12 09:15:00.32,ANON012.SZ,114.06,400.0,-1,58684
2000-01-12 09:15:00.33,ANON012.SZ,93.3,100.0,1,59437
2000-01-12 09:15:00.33,ANON012.SZ,99.01,800.0,-1,60027
2000-01-12 09:15:00.33,ANON012.SZ,90.0,400.0,1,60028
2000-01-12 09:15:00.33,ANON012.SZ,93.05,100.0,1,60246
2000-01-12 09:15:00.33,ANON012.SZ,104.0,100.0,-1,60317
2000-01-12 09:15:00.35,ANON012.SZ,113.0,100.0,-1,62028
2000-01-12 09:15:00.37,ANON012.SZ,114.06,200.0,-1,63810
2000-01-12 09:15:00.37,ANON012.SZ,91.0,200.0,1,64088
2000-01-12 09:15:00.37,ANON012.SZ,97.0,100.0,-1,64090
2000-01-12 09:15:00.39,ANON012.SZ,92.25,200.0,1,65813
2000-01-12 09:15:00.39,ANON012.SZ,93.22,100.0,1,65814
2000-01-12 09:15:00.39,ANON012.SZ,91.22,200.0,1,65815
2000-01-12 09:15:00.4,ANON012.SZ,90.88,100.0,1,66530
2000-01-12 09:15:00.54,ANON012.SZ,93.0,100.0,-1,74961
2000-01-12 09:15:00.54,ANON012.SZ,96.5,100.0,-1,75120
2000-01-12 09:15:00.56,ANON012.SZ,113.21,100.0,-1,76365
2000-01-12 09:15:00.6,ANON012.SZ,114.03,100.0,-1,78255
2000-01-12 09:15:00.62,ANON012.SZ,80.06,100.0,1,79660
2000-01-12 09:15:00.65,ANON012.SZ,114.06,300.0,-1,80882
2000-01-12 09:15:00.68,ANON012.SZ,103.5,100.0,-1,82617
2000-01-12 09:15:00.69,ANON012.SZ,95.59,100.0,-1,82897
2000-01-12 09:15:00.69,ANON012.SZ,95.89,100.0,-1,82899
2000-01-12 09:15:00.69,ANON012.SZ,96.38,100.0,-1,82900
2000-01-12 09:15:00.7,ANON012.SZ,90.0,100.0,1,83789
2000-01-12 09:15:00.72,ANON012.SZ,98.3,1000.0,-1,84234
2000-01-12 09:15:00.73,ANON012.SZ,114.05,100.0,-1,84779
2000-01-12 09:15:00.73,ANON012.SZ,93.61,100.0,1,84902
