datetime,sym,price,size,side,orderid
2000-01-09 09:15:00.3,ANON009.SH,10.86,100.0,-1,2043
2000-01-09 09:15:01.49,ANON009.SH,9.09,800.0,1,5699
2000-01-09 09:15:01.56,ANON009.SH,10.7,1000.0,-1,5864
2000-01-09 09:15:01.63,ANON009.SH,9.68,3800.0,1,6113
2000-01-09 09:15:01.69,ANON009.SH,10.32,4000.0,-1,6452
2000-01-09 09:15:01.69,ANON009.SH,10.85,5000.0,-1,6488
2000-01-09 09:15:01.69,ANON009.SH,10.86,5000.0,-1,6489
2000-01-09 09:15:01.73,ANON009.SH,10.87,500.0,-1,7179
2000-01-09 09:15:01.85,ANON009.SH,9.99,1000.0,-1,10287
2000-01-09 09:15:02.05,ANON009.SH,9.33,100.0,1,12533
2000-01-09 09:15:02.14,ANON009.SH,9.18,1500.0,-1,13272
2000-01-09 09:15:02.14,ANON009.SH,10.84,1500.0,-1,13727
2000-01-09 09:15:02.14,ANON009.SH,10.84,1000.0,-1,14158
2000-01-09 09:15:02.25,ANON009.SH,9.51,500.0,1,14798
2000-01-09 09:15:02.25,ANON009.SH,9.51,1000.0,1,15289
2000-01-09 09:15:02.25,ANON009.SH,10.87,500.0,-1,15455
2000-01-09 09:15:02.25,ANON009.SH,10.28,300.0,-1,15895
2000-01-09 09:15:02.25,ANON009.SH,9.5,2000.0,-1,16567
2000-01-09 09:15:02.38,ANON009.SH,9.63,200.0,1,16982
2000-01-09 09:15:02.38,ANON009.SH,10.29,500.0,-1,17037
2000-01-09 09:15:02.38,ANON009.SH,10.49,500.0,-1,17057
2000-01-09 09:15:02.38,ANON009.SH,10.69,500.0,-1,17073
2000-01-09 09:15:02.65,ANON009.SH,10.4,300.0,-1,21246
2000-01-09 09:15:02.77,ANON009.SH,9.38,500.0,1,22246
2000-01-09 09:15:02.77,ANON009.SH,9.95,3000.0,-1,23061
2000-01-09 09:15:02.89,ANON009.SH,9.58,200.0,1,23743
2000-01-09 09:15:02.89,ANON009.SH,10.18,200.0,-1,23749
2000-01-09 09:15:02.89,ANON009.SH,10.67,1000.0,-1,25154
2000-01-09 09:15:03,ANON009.SH,10.5,1700.0,-1,25566
2000-01-09 09:15:03,ANON009.SH,10.8,1000.0,-1,25577
2000-01-09 09:15:03,ANON009.SH,10.67,100.0,-1,26195
2000-01-09 09:15:03,ANON009.SH,10.87,100.0,-1,26261
2000-01-09 09:15:03,ANON009.SH,10.59,600.0,-1,26757
2000-01-09 09:15:03,ANON009.SH,10.87,600.0,-1,26763
2000-01-09 09:15:03,ANON009.SH,9.63,1300.0,1,26843
2000-01-09 09:15:03,ANON009.SH,10.86,2000.0,-1,26972
2000-01-09 09:15:03,ANON009.SH,10.19,2400.0,-1,26997
2000-01-09 09:15:03.26,ANON009.SH,9.87,900.0,-1,29307
2000-01-09 09:15:03.53,ANON009.SH,10.3,1000.0,-1,34386
2000-01-09 09:15:03.53,ANON009.SH,9.5,1000.0,1,34618
2000-01-09 09:15:03.66,ANON009.SH,10.87,3000.0,-1,35596
2000-01-09 09:15:03.66,ANON009.SH,8.89,1000.0,1,35836
2000-01-09 09:15:03.66,ANON009.SH,10.87,800.0,-1,36116
2000-01-09 09:15:03.9,ANON009.SH,10.87,100.0,-1,39356
2000-01-09 09:15:03.9,ANON009.SH,10.78,300.0,-1,40121
2000-01-09 09:15:04.03,ANON009.SH,9.29,500.0,1,41065
2000-01-09 09:15:04.03,ANON009.SH,10.49,500.0,-1,41721
2000-01-09 09:15:04.03,ANON009.SH,9.51,500.0,1,41828
2000-01-09 09:15:04.03,ANON009.SH,9.0,100.0,1,42548
2000-01-09 09:15:04.03,ANON009.SH,8.9,1000.0,1,42756
2000-01-09 09:15:04.17,ANON009.SH,10.48,100.0,-1,43171
2000-01-09 09:15:04.17,ANON009.SH,10.87,7500.0,-1,43361
2000-01-09 09:15:04.17,ANON009.SH,10.87,500.0,-1,44490
2000-01-09 09:15:04.17,ANON009.SH,9.8,300.0,1,44658
2000-01-09 09:15:04.5,ANON009.SH,10.35,1000.0,-1,47222
2000-01-09 09:15:04.62,ANON009.SH,10.85,100.0,-1,49364
2000-01-09 09:15:04.68,ANON009.SH,10.5,1500.0,-1,49653
2000-01-09 09:15:04.68,ANON009.SH,9.77,2000.0,1,49849
2000-01-09 09:15:04.68,ANON009.SH,10.76,400.0,-1,49991
2000-01-09 09:15:04.68,ANON009.SH,10.76,400.0,-1,50010
2000-01-09 09:15:04.68,ANON009.SH,10.76,300.0,-1,50011
2000-01-09 09:15:04.68,ANON009.SH,10.85,200.0,-1,51209
2000-01-09 09:15:04.93,ANON009.SH,9.6,1000.0,1,53984
2000-01-09 09:15:04.93,ANON009.SH,9.81,200.0,1,55148
2000-01-09 09:15:04.93,ANON009.SH,8.91,100.0,1,55178
2000-01-09 09:15:05.06,ANON009.SH,9.85,400.0,-1,56129
2000-01-09 09:15:05.06,ANON009.SH,9.97,300.0,-1,57169
2000-01-09 09:15:05.06,ANON009.SH,10.06,300.0,-1,57174
2000-01-09 09:15:05.06,ANON009.SH,10.12,300.0,-1,57175
2000-01-09 09:15:05.06,ANON009.SH,10.18,300.0,-1,57183
2000-01-09 09:15:05.06,ANON009.SH,10.0,300.0,-1,57197
2000-01-09 09:15:05.06,ANON009.SH,10.03,300.0,-1,57198
2000-01-09 09:15:05.06,ANON009.SH,10.09,300.0,-1,57199
2000-01-09 09:15:05.06,ANON009.SH,10.15,300.0,-1,57204
2000-01-09 09:15:05.06,ANON009.SH,10.21,300.0,-1,57205
2000-01-09 09:15:05.06,ANON009.SH,10.27,300.0,-1,57216
2000-01-09 09:15:05.06,ANON009.SH,10.24,300.0,-1,57219
2000-01-09 09:15:05.06,ANON009.SH,10.3,300.0,-1,57220
2000-01-09 09:15:05.06,ANON009.SH,10.36,600.0,-1,57221
2000-01-09 09:15:05.06,ANON009.SH,10.42,600.0,-1,57223
2000-01-09 09:15:05.06,ANON009.SH,10.48,600.0,-1,57224
2000-01-09 09:15:05.06,ANON009.SH,10.54,600.0,-1,57228
2000-01-09 09:15:05.06,ANON009.SH,10.66,600.0,-1,57229
2000-01-09 09:15:05.06,ANON009.SH,10.78,600.0,-1,57230
2000-01-09 09:15:05.06,ANON009.SH,10.6,600.0,-1,57231
2000-01-09 09:15:05.06,ANON009.SH,10.72,600.0,-1,57311
2000-01-09 09:15:05.06,ANON009.SH,10.2,2000.0,-1,57377
