datetime,sym,price,size,side,orderid
2000-01-07 09:15:00.04,ANON007.SZ,21.99,400.0,-1,3704
2000-01-07 09:15:00.05,ANON007.SZ,21.72,400.0,-1,6932
2000-01-07 09:15:00.05,ANON007.SZ,21.6,1200.0,1,7655
2000-01-07 09:15:00.06,ANON007.SZ,23.85,400.0,-1,8951
2000-01-07 09:15:00.06,ANON007.SZ,22.5,500.0,-1,10847
2000-01-07 09:15:00.06,ANON007.SZ,21.21,1500.0,1,11104
2000-01-07 09:15:00.08,ANON007.SZ,19.51,400.0,-1,14319
2000-01-07 09:15:00.08,ANON007.SZ,21.97,200.0,-1,15386
2000-01-07 09:15:00.1,ANON007.SZ,22.5,1000.0,-1,19265
2000-01-07 09:15:00.1,ANON007.SZ,22.23,600.0,-1,21320
2000-01-07 09:15:00.11,ANON007.SZ,22.99,66900.0,-1,22862
2000-01-07 09:15:00.11,ANON007.SZ,22.0,2600.0,-1,23005
2000-01-07 09:15:00.11,ANON007.SZ,21.0,500.0,1,23389
2000-01-07 09:15:00.11,ANON007.SZ,22.24,900.0,-1,25867
2000-01-07 09:15:00.12,ANON007.SZ,21.55,200.0,1,26715
2000-01-07 09:15:00.12,ANON007.SZ,22.18,100.0,-1,28027
2000-01-07 09:15:00.12,ANON007.SZ,23.83,200.0,-1,28402
2000-01-07 09:15:00.12,ANON007.SZ,21.98,800.0,-1,28909
2000-01-07 09:15:00.13,ANON007.SZ,20.0,300.0,1,29671
2000-01-07 09:15:00.13,ANON007.SZ,21.68,100.0,1,29790
2000-01-07 09:15:00.13,ANON007.SZ,21.4,100.0,1,29791
2000-01-07 09:15:00.13,ANON007.SZ,23.8,300.0,-1,31743
2000-01-07 09:15:00.14,ANON007.SZ,23.85,1900.0,-1,32821
2000-01-07 09:15:00.14,ANON007.SZ,23.85,1900.0,-1,32826
2000-01-07 09:15:00.14,ANON007.SZ,23.85,1900.0,-1,32831
2000-01-07 09:15:00.14,ANON007.SZ,22.8,1000.0,-1,33099
2000-01-07 09:15:00.14,ANON007.SZ,23.23,1000.0,-1,33100
2000-01-07 09:15:00.14,ANON007.SZ,23.85,400.0,-1,34335
2000-01-07 09:15:00.15,ANON007.SZ,21.09,300.0,-1,36279
2000-01-07 09:15:00.15,ANON007.SZ,21.0,400.0,1,36372
2000-01-07 09:15:00.15,ANON007.SZ,21.99,600.0,-1,36976
