datetime,sym,price,size,side,orderid
2000-01-04 09:15:00.01,ANON004.SH,9.75,100.0,1,164
2000-01-04 09:15:00.29,ANON004.SH,10.21,100.0,-1,1016
2000-01-04 09:15:00.29,ANON004.SH,9.99,200.0,-1,1287
2000-01-04 09:15:00.4,ANON004.SH,10.09,100.0,-1,1901
2000-01-04 09:15:00.4,ANON004.SH,10.29,100.0,-1,1902
2000-01-04 09:15:00.4,ANON004.SH,10.49,400.0,-1,1903
2000-01-04 09:15:00.4,ANON004.SH,10.53,300.0,-1,1904
2000-01-04 09:15:00.42,ANON004.SH,10.64,1100.0,-1,2315
2000-01-04 09:15:00.52,ANON004.SH,10.79,1200.0,-1,2940
2000-01-04 09:15:00.88,ANON004.SH,10.5,500.0,-1,3798
2000-01-04 09:15:00.88,ANON004.SH,10.84,1000.0,-1,3813
2000-01-04 09:15:00.88,ANON004.SH,9.75,10000.0,1,3888
2000-01-04 09:15:00.88,ANON004.SH,9.7,700.0,1,3945
2000-01-04 09:15:00.94,ANON004.SH,10.84,500.0,-1,4587
2000-01-04 09:15:01.13,ANON004.SH,9.97,1000.0,-1,4945
2000-01-04 09:15:01.15,ANON004.SH,9.78,2600.0,1,5248
2000-01-04 09:15:01.18,ANON004.SH,10.15,1300.0,-1,6154
2000-01-04 09:15:01.18,ANON004.SH,10.45,1300.0,-1,6186
2000-01-04 09:15:01.18,ANON004.SH,10.75,1300.0,-1,6209
2000-01-04 09:15:01.18,ANON004.SH,9.75,300.0,1,6489
2000-01-04 09:15:01.26,ANON004.SH,9.6,200.0,1,7052
2000-01-04 09:15:01.32,ANON004.SH,10.33,7000.0,-1,8222
2000-01-04 09:15:01.37,ANON004.SH,10.4,100.0,-1,8407
2000-01-04 09:15:01.4,ANON004.SH,10.8,400.0,-1,8742
2000-01-04 09:15:01.49,ANON004.SH,10.84,1000.0,-1,9122
2000-01-04 09:15:01.51,ANON004.SH,9.68,1200.0,-1,9355
2000-01-04 09:15:01.51,ANON004.SH,10.84,2200.0,-1,9453
2000-01-04 09:15:01.54,ANON004.SH,10.42,500.0,-1,9528
2000-01-04 09:15:01.54,ANON004.SH,10.19,100.0,-1,9549
2000-01-04 09:15:01.54,ANON004.SH,10.39,100.0,-1,9577
2000-01-04 09:15:01.54,ANON004.SH,10.79,100.0,-1,9637
2000-01-04 09:15:01.56,ANON004.SH,9.43,400.0,1,10069
2000-01-04 09:15:01.56,ANON004.SH,9.75,100.0,1,10253
2000-01-04 09:15:01.56,ANON004.SH,10.06,400.0,-1,10256
2000-01-04 09:15:01.56,ANON004.SH,10.73,200.0,-1,10287
2000-01-04 09:15:01.64,ANON004.SH,10.58,300.0,-1,10502
2000-01-04 09:15:01.64,ANON004.SH,9.58,300.0,1,10512
2000-01-04 09:15:01.66,ANON004.SH,10.84,500.0,-1,10953
2000-01-04 09:15:01.69,ANON004.SH,10.68,100.0,-1,11331
2000-01-04 09:15:01.69,ANON004.SH,10.3,4000.0,-1,11435
2000-01-04 09:15:01.69,ANON004.SH,9.6,4000.0,1,11436
2000-01-04 09:15:01.74,ANON004.SH,10.84,200.0,-1,12172
2000-01-04 09:15:01.74,ANON004.SH,9.16,200.0,1,12173
2000-01-04 09:15:01.74,ANON004.SH,10.1,4000.0,-1,12342
2000-01-04 09:15:01.74,ANON004.SH,10.7,4000.0,-1,12343
2000-01-04 09:15:01.74,ANON004.SH,10.24,500.0,-1,12557
2000-01-04 09:15:01.74,ANON004.SH,10.34,1000.0,-1,12566
2000-01-04 09:15:01.74,ANON004.SH,10.5,4000.0,-1,12695
2000-01-04 09:15:01.74,ANON004.SH,9.4,4000.0,1,12727
2000-01-04 09:15:01.74,ANON004.SH,9.97,3300.0,-1,12994
2000-01-04 09:15:01.74,ANON004.SH,10.8,2000.0,-1,13412
2000-01-04 09:15:01.74,ANON004.SH,10.84,1300.0,-1,13459
2000-01-04 09:15:01.74,ANON004.SH,10.8,100.0,-1,13631
2000-01-04 09:15:01.74,ANON004.SH,10.27,1000.0,-1,13673
2000-01-04 09:15:01.74,ANON004.SH,10.81,1200.0,-1,13674
2000-01-04 09:15:01.74,ANON004.SH,10.65,1200.0,-1,13808
2000-01-04 09:15:01.83,ANON004.SH,10.84,400.0,-1,13833
2000-01-04 09:15:01.83,ANON004.SH,9.84,1200.0,-1,13887
2000-01-04 09:15:01.83,ANON004.SH,9.51,1800.0,1,14081
2000-01-04 09:15:01.83,ANON004.SH,10.25,200.0,-1,14086
2000-01-04 09:15:01.83,ANON004.SH,10.55,100.0,-1,14482
2000-01-04 09:15:01.83,ANON004.SH,10.83,2400.0,-1,14660
2000-01-04 09:15:01.83,ANON004.SH,8.87,4800.0,1,14661
2000-01-04 09:15:01.83,ANON004.SH,10.84,100.0,-1,14672
2000-01-04 09:15:01.83,ANON004.SH,8.88,4000.0,1,14757
2000-01-04 09:15:01.83,ANON004.SH,10.22,200.0,-1,14870
2000-01-04 09:15:01.91,ANON004.SH,10.32,2000.0,-1,15473
2000-01-04 09:15:01.91,ANON004.SH,9.55,4000.0,1,15968
2000-01-04 09:15:01.91,ANON004.SH,10.84,900.0,-1,15990
2000-01-04 09:15:01.91,ANON004.SH,10.68,400.0,-1,16236
2000-01-04 09:15:01.91,ANON004.SH,10.64,1000.0,-1,16892
2000-01-04 09:15:01.91,ANON004.SH,8.91,600.0,1,16965
2000-01-04 09:15:02.02,ANON004.SH,10.83,1000.0,-1,17049
2000-01-04 09:15:02.02,ANON004.SH,10.84,900.0,-1,17577
2000-01-04 09:15:02.02,ANON004.SH,10.3,200.0,-1,17813
2000-01-04 09:15:02.02,ANON004.SH,9.62,100.0,1,18024
2000-01-04 09:15:02.02,ANON004.SH,9.52,100.0,1,18034
2000-01-04 09:15:02.02,ANON004.SH,9.42,100.0,1,18035
