datetime,sym,price,size,bidorderid,askorderid
2000-01-10 09:15:30.02,ANON010.SH,16.7,4200.0,0,92270
2000-01-10 09:15:50.32,ANON010.SH,16.43,1000.0,66709,0
2000-01-10 09:15:52,ANON010.SH,17.0,8300.0,94059,0
2000-01-10 09:18:43.92,ANON010.SH,18.63,2500.0,0,105340
2000-01-10 09:19:29.7,ANON010.SH,15.25,18600.0,0,91998
2000-01-10 09:19:47.54,ANON010.SH,15.26,6400.0,97012,0
2000-01-10 09:19:47.87,ANON010.SH,15.25,800.0,107491,0
2000-01-10 09:25:00.22,ANON010.SH,17.17,200.0,148584,150295
2000-01-10 09:25:00.22,ANON010.SH,17.17,100.0,148584,27929
2000-01-10 09:25:00.22,ANON010.SH,17.17,400.0,151042,27929
2000-01-10 09:25:00.22,ANON010.SH,17.17,400.0,151042,116501
2000-01-10 09:25:00.22,ANON010.SH,17.17,200.0,151042,53664
2000-01-10 09:25:00.22,ANON010.SH,17.17,100.0,151042,87728
2000-01-10 09:25:00.22,ANON010.SH,17.17,4100.0,151042,54107
2000-01-10 09:25:00.22,ANON010.SH,17.17,200.0,151042,74393
2000-01-10 09:25:00.22,ANON010.SH,17.17,200.0,151042,82494
2000-01-10 09:25:00.22,ANON010.SH,17.17,200.0,151042,75527
2000-01-10 09:25:00.22,ANON010.SH,17.17,100.0,151042,125113
2000-01-10 09:30:02.44,ANON010.SH,16.93,200.0,56636,0
2000-01-10 09:30:02.44,ANON010.SH,17.19,700.0,0,164132
2000-01-10 09:30:02.72,ANON010.SH,17.05,100.0,141867,168222
2000-01-10 09:30:02.72,ANON010.SH,17.05,100.0,141867,168657
2000-01-10 09:30:02.89,ANON010.SH,17.1,500.0,170335,162816
2000-01-10 09:30:02.89,ANON010.SH,17.14,100.0,170335,158066
2000-01-10 09:30:03.21,ANON010.SH,15.25,100.0,74224,0
2000-01-10 09:30:03.53,ANON010.SH,17.11,100.0,177646,0
2000-01-10 09:30:03.85,ANON010.SH,17.12,100.0,182414,176294
2000-01-10 09:30:03.85,ANON010.SH,17.14,400.0,182414,158066
2000-01-10 09:30:03.85,ANON010.SH,17.15,100.0,182414,160035
2000-01-10 09:30:04.59,ANON010.SH,17.33,1400.0,0,126997
2000-01-10 09:30:05.03,ANON010.SH,17.0,100.0,171405,195348
2000-01-10 09:30:05.33,ANON010.SH,16.98,500.0,198975,195348
2000-01-10 09:30:05.33,ANON010.SH,17.0,200.0,198975,199650
2000-01-10 09:30:06.48,ANON010.SH,17.05,1000.0,212668,190714
2000-01-10 09:30:06.98,ANON010.SH,17.05,1300.0,0,208790
2000-01-10 09:30:07.14,ANON010.SH,15.25,100.0,104119,0
2000-01-10 09:30:07.43,ANON010.SH,17.17,1100.0,0,222253
2000-01-10 09:30:07.59,ANON010.SH,17.0,100.0,198975,224776
2000-01-10 09:30:07.59,ANON010.SH,17.13,500.0,0,199640
2000-01-10 09:30:07.59,ANON010.SH,17.05,100.0,0,199720
2000-01-10 09:30:07.73,ANON010.SH,17.04,100.0,225672,224726
2000-01-10 09:30:08.14,ANON010.SH,17.0,300.0,198975,230279
2000-01-10 09:30:08.14,ANON010.SH,17.0,300.0,198975,231182
2000-01-10 09:30:08.28,ANON010.SH,17.0,100.0,198975,232121
2000-01-10 09:30:08.28,ANON010.SH,17.0,100.0,198975,232502
2000-01-10 09:30:08.28,ANON010.SH,17.05,100.0,0,199809
2000-01-10 09:30:08.59,ANON010.SH,17.2,500.0,0,135392
2000-01-10 09:30:08.86,ANON010.SH,17.0,100.0,198975,239065
2000-01-10 09:30:08.86,ANON010.SH,17.0,100.0,198975,239070
2000-01-10 09:30:09.07,ANON010.SH,17.43,8400.0,0,117799
2000-01-10 09:30:09.24,ANON010.SH,17.05,100.0,0,215853
2000-01-10 09:30:09.39,ANON010.SH,17.0,100.0,198975,243684
2000-01-10 09:30:09.39,ANON010.SH,17.0,100.0,198975,243831
2000-01-10 09:30:09.39,ANON010.SH,17.0,100.0,198975,243833
2000-01-10 09:30:09.39,ANON010.SH,17.0,100.0,198975,243870
2000-01-10 09:30:09.39,ANON010.SH,17.04,100.0,0,224781
2000-01-10 09:30:09.39,ANON010.SH,17.04,200.0,0,224844
2000-01-10 09:30:09.39,ANON010.SH,17.05,100.0,0,199766
2000-01-10 09:30:09.39,ANON010.SH,17.05,100.0,0,199765
2000-01-10 09:30:09.39,ANON010.SH,17.05,100.0,0,199771
2000-01-10 09:30:09.39,ANON010.SH,17.05,100.0,0,199768
2000-01-10 09:30:09.39,ANON010.SH,17.05,100.0,0,199769
2000-01-10 09:30:09.39,ANON010.SH,17.05,100.0,0,199772
2000-01-10 09:30:09.45,ANON010.SH,17.05,1000.0,244533,190714
2000-01-10 09:30:09.45,ANON010.SH,17.0,500.0,198975,245406
2000-01-10 09:30:09.82,ANON010.SH,17.42,1000.0,0,229111
2000-01-10 09:30:10.06,ANON010.SH,17.0,200.0,198975,251759
2000-01-10 09:30:10.06,ANON010.SH,17.0,100.0,198975,251853
2000-01-10 09:30:10.06,ANON010.SH,17.0,100.0,198975,251878
2000-01-10 09:30:10.06,ANON010.SH,17.0,100.0,198975,252157
2000-01-10 09:30:10.06,ANON010.SH,17.0,100.0,198975,252158
2000-01-10 09:30:10.06,ANON010.SH,17.05,100.0,0,225332
2000-01-10 09:30:10.06,ANON010.SH,17.05,100.0,0,225333
2000-01-10 09:30:10.28,ANON010.SH,17.0,200.0,198975,254947
2000-01-10 09:30:10.62,ANON010.SH,17.0,1200.0,198975,258285
2000-01-10 09:30:10.89,ANON010.SH,17.0,100.0,198975,260762
2000-01-10 09:30:10.89,ANON010.SH,17.0,200.0,198975,260808
2000-01-10 09:30:10.89,ANON010.SH,17.0,100.0,240465,260808
2000-01-10 09:30:10.89,ANON010.SH,17.0,100.0,240465,260867
2000-01-10 09:30:10.96,ANON010.SH,17.02,100.0,261252,261271
2000-01-10 09:30:10.96,ANON010.SH,17.02,100.0,261252,261280
2000-01-10 09:30:10.96,ANON010.SH,17.02,100.0,261252,261283
2000-01-10 09:30:10.96,ANON010.SH,17.02,100.0,261252,261335
2000-01-10 09:30:10.96,ANON010.SH,17.02,100.0,261252,261344
2000-01-10 09:30:10.96,ANON010.SH,17.02,100.0,261252,261419
2000-01-10 09:30:10.96,ANON010.SH,17.02,100.0,261252,261420
2000-01-10 09:30:10.96,ANON010.SH,17.13,200.0,0,202434
2000-01-10 09:30:10.96,ANON010.SH,17.13,200.0,0,199617
2000-01-10 09:30:10.96,ANON010.SH,17.13,200.0,0,199691
2000-01-10 09:30:10.96,ANON010.SH,17.13,400.0,0,199669
2000-01-10 09:30:10.96,ANON010.SH,17.13,500.0,0,199661
2000-01-10 09:30:10.99,ANON010.SH,17.01,200.0,261240,261541
2000-01-10 09:30:10.99,ANON010.SH,17.0,200.0,240465,261541
2000-01-10 09:30:11.15,ANON010.SH,17.0,600.0,240465,262318
2000-01-10 09:30:11.15,ANON010.SH,17.0,200.0,240466,262318
2000-01-10 09:30:12.31,ANON010.SH,17.11,100.0,0,260098
2000-01-10 09:30:12.31,ANON010.SH,17.11,100.0,0,260154
2000-01-10 09:30:12.45,ANON010.SH,17.0,400.0,0,270422
2000-01-10 09:30:13.14,ANON010.SH,18.63,100.0,0,179770
2000-01-10 09:30:13.94,ANON010.SH,17.0,100.0,0,268733
2000-01-10 09:30:13.94,ANON010.SH,17.0,100.0,0,268735
