datetime,sym,price,size,bidorderid,askorderid
2000-01-05 09:15:06.12,ANON005.SH,50.05,200.0,0,67387
2000-01-05 09:15:06.23,ANON005.SH,43.69,300.0,0,52749
2000-01-05 09:17:35.53,ANON005.SH,41.0,10933.0,0,107346
2000-01-05 09:18:52.17,ANON005.SH,41.25,400.0,0,107485
2000-01-05 09:19:07.67,ANON005.SH,42.0,46420.0,105890,0
2000-01-05 09:19:29.7,ANON005.SH,42.5,329.0,0,51207
2000-01-05 09:19:44.82,ANON005.SH,41.25,200.0,0,107486
2000-01-05 09:25:00.7,ANON005.SH,42.1,200.0,138792,138883
2000-01-05 09:25:00.7,ANON005.SH,42.1,200.0,113689,153395
2000-01-05 09:25:00.7,ANON005.SH,42.1,83.0,113689,165086
2000-01-05 09:25:00.7,ANON005.SH,42.1,200.0,122657,165086
2000-01-05 09:25:00.7,ANON005.SH,42.1,200.0,156351,165086
2000-01-05 09:25:00.7,ANON005.SH,42.1,200.0,153658,165086
2000-01-05 09:25:00.7,ANON005.SH,42.1,300.0,158212,165086
2000-01-05 09:25:00.7,ANON005.SH,42.1,1225.0,117351,165086
2000-01-05 09:25:00.7,ANON005.SH,42.1,200.0,117351,140981
2000-01-05 09:25:00.7,ANON005.SH,42.1,600.0,117351,165934
2000-01-05 09:25:00.7,ANON005.SH,42.1,200.0,117351,166132
2000-01-05 09:25:00.7,ANON005.SH,42.1,650.0,117351,146904
2000-01-05 09:25:00.7,ANON005.SH,42.1,200.0,117351,122482
2000-01-05 09:25:00.7,ANON005.SH,42.1,729.0,117351,155055
2000-01-05 09:25:00.7,ANON005.SH,42.1,500.0,117351,160597
2000-01-05 09:25:00.7,ANON005.SH,42.1,696.0,117351,165989
2000-01-05 09:25:00.7,ANON005.SH,42.1,4.0,141950,165989
2000-01-05 09:25:00.7,ANON005.SH,42.1,196.0,141950,150259
2000-01-05 09:25:00.7,ANON005.SH,42.1,304.0,147210,150259
2000-01-05 09:25:00.7,ANON005.SH,42.1,999.0,147210,160731
2000-01-05 09:25:00.7,ANON005.SH,42.1,524.0,77918,160731
2000-01-05 09:25:00.7,ANON005.SH,42.1,300.0,77918,166093
2000-01-05 09:30:00.8,ANON005.SH,42.11,200.0,168311,160513
2000-01-05 09:30:00.81,ANON005.SH,42.11,300.0,168311,168365
2000-01-05 09:30:00.81,ANON005.SH,42.11,500.0,168311,168427
2000-01-05 09:30:01.5,ANON005.SH,42.11,266.0,168311,170376
2000-01-05 09:30:01.55,ANON005.SH,42.13,2773.0,170623,160077
2000-01-05 09:30:01.55,ANON005.SH,42.13,827.0,170623,163692
2000-01-05 09:30:01.64,ANON005.SH,42.11,16.0,168311,171255
2000-01-05 09:30:01.64,ANON005.SH,42.1,2136.0,77918,171255
2000-01-05 09:30:01.76,ANON005.SH,42.1,356.0,77918,173277
2000-01-05 09:30:01.76,ANON005.SH,42.1,1684.0,77918,173364
2000-01-05 09:30:01.76,ANON005.SH,42.1,1216.0,109938,173364
2000-01-05 09:30:02.18,ANON005.SH,42.2,90.0,0,151772
2000-01-05 09:30:02.31,ANON005.SH,42.1,1784.0,109938,179439
2000-01-05 09:30:02.31,ANON005.SH,42.24,4000.0,0,138766
2000-01-05 09:30:02.31,ANON005.SH,42.16,320.0,0,164771
2000-01-05 09:30:02.31,ANON005.SH,42.34,320.0,0,164772
2000-01-05 09:30:02.46,ANON005.SH,42.09,238.0,30601,181550
2000-01-05 09:30:02.54,ANON005.SH,42.19,1200.0,0,160587
2000-01-05 09:30:03.46,ANON005.SH,42.01,200.0,195127,181550
2000-01-05 09:30:03.74,ANON005.SH,42.24,1000.0,0,157988
2000-01-05 09:30:04.39,ANON005.SH,42.01,300.0,205866,181550
2000-01-05 09:30:04.39,ANON005.SH,42.01,200.0,205984,181550
2000-01-05 09:30:05.52,ANON005.SH,42.01,200.0,221650,181550
2000-01-05 09:30:05.52,ANON005.SH,42.01,200.0,221721,181550
2000-01-05 09:30:05.87,ANON005.SH,40.4,200.0,181775,0
2000-01-05 09:30:06.01,ANON005.SH,42.01,400.0,227278,181550
2000-01-05 09:30:06.14,ANON005.SH,42.09,200.0,0,206281
2000-01-05 09:30:06.59,ANON005.SH,42.01,200.0,233122,181550
2000-01-05 09:30:06.91,ANON005.SH,42.01,325.0,237817,181550
2000-01-05 09:30:08.02,ANON005.SH,42.01,237.0,251001,181550
2000-01-05 09:30:08.02,ANON005.SH,42.01,200.0,251001,235446
2000-01-05 09:30:08.33,ANON005.SH,42.06,200.0,251001,254852
2000-01-05 09:30:08.33,ANON005.SH,42.06,163.0,251001,255310
2000-01-05 09:30:08.33,ANON005.SH,42.0,37.0,220744,255310
2000-01-05 09:30:08.33,ANON005.SH,42.08,200.0,255606,222544
2000-01-05 09:30:08.33,ANON005.SH,41.73,700.0,241127,0
2000-01-05 09:30:09.72,ANON005.SH,42.3,500.0,0,141786
2000-01-05 09:30:09.72,ANON005.SH,42.08,335.0,0,222544
2000-01-05 09:30:10,ANON005.SH,42.02,200.0,272424,273818
2000-01-05 09:30:10,ANON005.SH,42.02,200.0,273004,273916
2000-01-05 09:30:10,ANON005.SH,42.02,200.0,273039,274219
2000-01-05 09:30:10,ANON005.SH,42.01,200.0,272218,274736
2000-01-05 09:30:10.13,ANON005.SH,42.06,200.0,275470,273811
2000-01-05 09:30:10.13,ANON005.SH,42.08,253.0,275470,229523
2000-01-05 09:30:10.13,ANON005.SH,42.08,296.0,275470,264232
2000-01-05 09:30:10.13,ANON005.SH,42.09,201.0,275470,244830
2000-01-05 09:30:10.13,ANON005.SH,42.01,200.0,272218,276596
2000-01-05 09:30:10.27,ANON005.SH,42.01,80.0,272218,276967
2000-01-05 09:30:10.27,ANON005.SH,42.0,120.0,220744,276967
2000-01-05 09:30:10.61,ANON005.SH,42.0,53.0,220744,280625
2000-01-05 09:30:10.61,ANON005.SH,42.0,147.0,273446,280625
2000-01-05 09:30:10.61,ANON005.SH,42.07,200.0,281264,278211
2000-01-05 09:30:10.61,ANON005.SH,42.09,100.0,281264,244830
2000-01-05 09:30:11.13,ANON005.SH,42.0,53.0,273446,286829
2000-01-05 09:30:11.27,ANON005.SH,40.83,200.0,39764,0
2000-01-05 09:30:11.27,ANON005.SH,43.35,200.0,0,39779
2000-01-05 09:30:11.8,ANON005.SH,41.92,200.0,292040,291244
2000-01-05 09:30:11.8,ANON005.SH,41.67,400.0,228233,0
2000-01-05 09:30:12.88,ANON005.SH,42.0,147.0,297697,286829
2000-01-05 09:30:12.88,ANON005.SH,42.0,200.0,297697,286830
2000-01-05 09:30:12.88,ANON005.SH,42.0,200.0,297697,286831
2000-01-05 09:30:12.88,ANON005.SH,42.0,53.0,297697,286832
2000-01-05 09:30:12.88,ANON005.SH,42.0,147.0,297773,286832
2000-01-05 09:30:12.88,ANON005.SH,42.0,200.0,297773,286833
2000-01-05 09:30:12.88,ANON005.SH,42.0,153.0,297773,286834
2000-01-05 09:30:12.88,ANON005.SH,42.1,7062.0,0,241971
2000-01-05 09:30:13.31,ANON005.SH,42.1,200.0,0,265659
2000-01-05 09:30:13.31,ANON005.SH,42.11,200.0,0,265655
2000-01-05 09:30:13.31,ANON005.SH,42.13,200.0,0,265656
2000-01-05 09:30:13.56,ANON005.SH,42.01,200.0,0,283739
