datetime,sym,price,size,bidorderid,askorderid
2000-01-01 09:30:00.33,ANON001.SZ,0.0,100.0,400592,0
2000-01-01 09:30:01,ANON001.SZ,5.86,200.0,458974,484646
2000-01-01 09:30:01,ANON001.SZ,5.85,1000.0,364187,484646
2000-01-01 09:30:01.2,ANON001.SZ,5.85,800.0,496617,484646
2000-01-01 09:30:01.58,ANON001.SZ,5.85,300.0,518112,484646
2000-01-01 09:30:01.64,ANON001.SZ,0.0,300.0,266742,0
2000-01-01 09:30:01.66,ANON001.SZ,5.85,100.0,522416,484646
2000-01-01 09:30:02.45,ANON001.SZ,5.85,200.0,554887,484646
2000-01-01 09:30:03.27,ANON001.SZ,5.86,100.0,578235,577991
2000-01-01 09:30:03.27,ANON001.SZ,5.87,2000.0,578235,426728
2000-01-01 09:30:03.33,ANON001.SZ,0.0,200.0,0,447024
2000-01-01 09:30:03.35,ANON001.SZ,5.86,100.0,578309,580711
2000-01-01 09:30:03.35,ANON001.SZ,5.85,100.0,554887,580711
2000-01-01 09:30:03.58,ANON001.SZ,5.88,400.0,584005,587118
2000-01-01 09:30:04.18,ANON001.SZ,5.88,100.0,584005,599885
2000-01-01 09:30:04.73,ANON001.SZ,5.88,400.0,584005,610669
2000-01-01 09:30:04.91,ANON001.SZ,0.0,1300.0,343818,0
2000-01-01 09:30:05.01,ANON001.SZ,0.0,1200.0,343814,0
2000-01-01 09:30:06.18,ANON001.SZ,5.88,300.0,584005,629617
2000-01-01 09:30:06.19,ANON001.SZ,5.88,400.0,584005,629766
2000-01-01 09:30:06.21,ANON001.SZ,5.89,200.0,630396,630511
2000-01-01 09:30:06.21,ANON001.SZ,5.88,100.0,584005,630513
2000-01-01 09:30:06.21,ANON001.SZ,5.88,100.0,584005,630519
2000-01-01 09:30:06.21,ANON001.SZ,5.88,100.0,584005,630694
2000-01-01 09:30:06.21,ANON001.SZ,5.88,100.0,584005,630708
2000-01-01 09:30:06.22,ANON001.SZ,5.87,100.0,580771,630870
2000-01-01 09:30:06.24,ANON001.SZ,5.87,100.0,581344,631147
2000-01-01 09:30:06.24,ANON001.SZ,5.87,100.0,594757,631147
2000-01-01 09:30:06.24,ANON001.SZ,5.87,100.0,612626,631147
2000-01-01 09:30:06.39,ANON001.SZ,5.86,300.0,580778,633005
